"ბუნება","Language"
"გაზეთი იდეალურია","Georgian"
" გაზრდის წყარო","Georgian"
"მიმდინარე საქმეები. შინამეურნეობის უმეტესობაში","Georgian"
"დღევანდელი საზოგადოება დილა იწყება","Georgian"
" საკითხავი გაზეთი.","Georgian"
"დიგიტალიზაციის ამ ეპოქაში","Georgian"
" უხვი მონაცემებია","Georgian"
"ხელმისაწვდომია ინტერნეტში.","Georgian"
"სიახლეების უმეტესობა","Georgian"
" არხისა და გაზეთების გამომცემლობები გაუმკლავდნენ","Georgian"
" ტენდენციასთან ერთად","Georgian"
" დიგიტალიზაცია გაიხსნა","Georgian"
"საკუთარი ვებსაიტი და მობილური აპლიკაცია.","Georgian"
" ინფორმაცია სოციალურ ქსელში მყისიერად ვრცელდება","Georgian"
"მედია და საიტები.","Georgian"
"ამ მიმდინარე სცენარში","Georgian"
" სადაც ინფორმაცია","Georgian"
"თითქმის ხელმისაწვდომია რეალურ დროში ინტერნეტში","Georgian"
" გაზეთი თავდაპირველი სახით ჩანს","Georgian"
"წინაშე მკურნალობა","Georgian"
"არსებობა. თუმცა","Georgian"
" ყოველკვირეული გაზეთები მაინც","Georgian"
" ამაში თავისი მნიშვნელობა აქვს","Georgian"
" ციფრული ეპოქა.","Georgian"
" გაზეთი კვლავ განიხილება","Georgian"
"როგორც ნებისმიერი ინფორმაციის ავთენტური წყარო.","Georgian"
"გაზეთების უმეტესობას ასევე აქვს განსაკუთრებული","Georgian"
" განყოფილება ახალგაზრდებისა და სკოლის მოსწავლეებისთვის","Georgian"
" გამოხატონ და გამოავლინონ თავიანთი ნიჭი.","Georgian"
"რამდენიმე სტატია ვიქტორინაზე","Georgian"
" გამოქვეყნებულია მოთხრობა","Georgian"
"რომელიც ამზადებს გაზეთს","Georgian"
" საინტერესო სტატიები","Georgian"
" სკოლის მოსწავლეებს შორის.","Georgian"
"ის ასევე ეხმარება ჩანერგვას","Georgian"
"კითხვის ჩვევა","Georgian"
"გაზეთი ადრეული ასაკიდანვე.","Georgian"
"გაზეთები დიდი წყაროა","Georgian"
" ინფორმაცია რომ","Georgian"
"შეიძლება ხელმისაწვდომი იყოს სახლში.","Georgian"
" თითოეული და ყველა","Georgian"
" უნდა უზრუნველყოს შეწოვა","Georgian"
" კითხვის ჩვევა","Georgian"
" გაზეთები მათ ცხოვრებაში.","Georgian"
" დღევანდელ ციფრულ სამყაროში","Georgian"
"ინფორმაციის ონლაინ წყარო","Georgian"
"ხელმისაწვდომია","Georgian"
" ავთენტურობა და სანდოობა","Georgian"
" ასეთი ინფორმაცია არის","Georgian"
" უცნობი. გაზეთია","Georgian"
" რომელიც უზრუნველყოფს უზრუნველყოფას","Georgian"
" ჩვენთან ზუსტი და დამოწმებული","Georgian"
" ინფორმაცია. გაზეთები მუდმივია","Georgian"
" როგორც იმიტომ","Georgian"
" შეუძლია ხალხის რწმენის მოპოვება","Georgian"
" თავისი დადასტურებული ინფორმაციით. სოციალურად","Georgian"
"გაზეთი მნიშვნელოვან როლს ასრულებს","Georgian"
" აღზრდა და შენარჩუნება","Georgian"
" მორალი და ჰარმონია","Georgian"
" საზოგადოება უფრო ფართო მასშტაბით.","Georgian"
"ერთ-ერთი ყველაზე ცნობილი","Georgian"
"და პატივცემული მრეწველები ინდოეთში","Georgian"
" რატან ნავალ ტატა თავმჯდომარეა","Georgian"
"Tata Sons და Tata Group. 73 წლის ასაკში","Georgian"
" ტატა ხელმძღვანელობს ქვეყნის ერთ-ერთ უდიდეს","Georgian"
" კონგლომერატები","Georgian"
" ფირმები","Georgian"
" 67 მილიარდი აშშ დოლარი. თავმჯდომარეც არის","Georgian"
" ძირითადი Tata კომპანიები","Georgian"
"ტატას საკონსულტაციო მომსახურება","Georgian"
"ინდური სასტუმროების კომპანია.","Georgian"
"თათა დაიბადა 1937 წლის 28 დეკემბერს ქ","Georgian"
" მუმბაი","Georgian"
" მისი დიდი ბაბუა იყო ჯამსეჯი ტატა","Georgian"
" Tata ჯგუფის დამფუძნებელი. როგორც ახალგაზრდა ბიჭი","Georgian"
" თათა აწუხებდა","Georgian"
"ბავშვობა მშობლების დაშორების შემდეგ.","Georgian"
" ის ბებიამ გაზარდა","Georgian"
"ლედი ნავაჯბაი ფუფუნების კალთაში ტატა პალასში.","Georgian"
" ამერიკას განსაკუთრებული გატაცება ჰქონდა","Georgian"
"ტატას მემკვიდრე და ის წავიდა კორნელის უნივერსიტეტში","Georgian"
" არქიტექტურისა და კონსტრუქციული ინჟინერიის შესასწავლად.","Georgian"
" მოგვიანებით მან მენეჯმენტი დაიწყო","Georgian"
"კურსი ჰარვარდის უნივერსიტეტიდან.","Georgian"
"მოგვიანებით თათამ გზა გაიკვალა","Georgian"
"Tata Industries-ის თავმჯდომარე","Georgian"
" და ინსტრუმენტული იყო დაწყების საქმეში","Georgian"
"რეფორმების ფართო სპექტრში.","Georgian"
"სწორედ მისი მეთაურობით იყო","Georgian"
" Tata Consultancy Services საჯარო გახდა","Georgian"
"და Tata Motors იყო ჩამოთვლილი","Georgian"
" ნიუ-იორკის საფონდო ბირჟაზე მიცემა","Georgian"
"ეს უფრო საერთაშორისო ძალაუფლება და აღიარებაა.","Georgian"
" მას მიაწერენ ლიდერობას","Georgian"
" Tatas-ის წარმატებული შეთავაზება Corus-ისთვის","Georgian"
" ფოლადისა და ალუმინის ანგლო-ჰოლანდიური მწარმოებელი","Georgian"
"ასევე Jaguar და Land Rover","Georgian"
"ბრენდები Ford Company-დან.","Georgian"
"მისი მოღვაწეობის პერიოდში კომპანია","Georgian"
"შეესწრო ინდოეთის გაშვებას","Georgian"
" პირველი მართლაც ინდური მანქანა","Georgian"
" მანქანა თათას ჭკუა იყო.","Georgian"
" 2000 წელს შეიძინა თათას კვების განყოფილება","Georgian"
"ჩაის ფირმა Tetley 70 მილიონ გირვანქა სტერლინგად.","Georgian"
"2009-10 წლებში ჯგუფის შემოსავლები","Georgian"
" გაიზარდა თითქმის 12-ჯერ","Georgian"
"საერთო ჯამში 67","Georgian"
" თათა ასევე ემსახურება","Georgian"
" Fiat SpA-ს და Alcoa-ს დაფები და","Georgian"
" ასევე არის საერთაშორისოზე","Georgian"
" Mitsubishi Corporation-ის საბჭოები","Georgian"
" ამერიკული საერთაშორისო ჯგუფი","Georgian"
" სინგაპურის ხელისუფლება.","Georgian"
"2000 წელს მიენიჭა პატივი","Georgian"
" პადმა ბუშანი მიერ","Georgian"
" ინდოეთის მთავრობა.","Georgian"
" მას ასევე მიენიჭა","Georgian"
"საპატიო დოქტორი","Georgian"
" ბიზნესის ადმინისტრირებაში","Georgian"
"ოჰაიოს სახელმწიფო უნივერსიტეტის მიერ","Georgian"
"საპატიო დოქტორის წოდება","Georgian"
"აზიის ინსტიტუტის ტექნოლოგია","Georgian"
" ტექნოლოგიები","Georgian"
"და საპატიო დოქტორის წოდება","Georgian"
" მეცნიერება უორვიკის უნივერსიტეტის მიერ.","Georgian"
"თათას აქვს პირადი","Georgian"
" ქონება 300 მილიონი GBP","Georgian"
"და ფლობს 1%-ზე ნაკლებს","Georgian"
"კოლოსალური ჯგუფი.","Georgian"
"ტატა ჯგუფის ორ მესამედზე მეტია","Georgian"
"ქველმოქმედების საკუთრებაშია","Georgian"
"ნდობა","Georgian"
"თათამ იდეალურად დააყენა","Georgian"
" კეთილშობილების მაგალითი და","Georgian"
" ხელმძღვანელობა 26/11 შეტევის დროს.","Georgian"
" უიარაღო ის სრულიად მარტო იდგა გარეთ","Georgian"
"სასტუმრო ტაჯი და ხელმძღვანელობდა საქმიანობას","Georgian"
" დაზარალებულთა დასახმარებლად. მან აჩვენა თავისი","Georgian"
" ჰუმანური ჟესტი პირადად სტუმრად","Georgian"
" 80-ვე თანამშრომლის ოჯახი","Georgian"
" მოკლული ან დაშავებული. ქვაზე არ დაუტოვებია","Georgian"
" დაზარალებულთათვის დახმარება და სთხოვა კიდეც","Georgian"
" ოჯახები და დამოკიდებულები","Georgian"
"რა უნდოდათ მას.","Georgian"
"მისი პენსიაზე გასვლა შეიძლება ჯერ კიდევ ერთი წელია დარჩენილი","Georgian"
" მაგრამ თათამ ცარცი დაიწყო","Georgian"
"გეგმები მისი პენსიაზე გასვლის შემდეგ.","Georgian"
" ის გეგმავს დიზაინის შექმნას","Georgian"
" საერთაშორისო სტანდარტებისა და მასშტაბის ცენტრი.","Georgian"
"მან ხელმძღვანელობდა მრავალი ადამიანის განვითარებას","Georgian"
"ინოვაციური დიზაინი და პროდუქტები","Georgian"
" ყველაზე ცნობილი ნანოა.","Georgian"
"ნანოს იდეა მასთან ერთად დაიბადა","Georgian"
" შეშფოთება ბირთვული უსაფრთხოებისთვის","Georgian"
" ოჯახები","Georgian"
" სწორედ მან შემოგვთავაზა ეს","Georgian"
" მინიატურული მანქანა უნდა იყოს დამონტაჟებული","Georgian"
"მხოლოდ ერთი საქარე მინის საწმენდით.","Georgian"
"ამან შეამცირა მისი ფასი","Georgian"
" და ტექნიკური ხარჯები.","Georgian"
"ინგლისური გრამატიკის სწავლება გვეხმარება","Georgian"
" სტუდენტების შესაძენად","Georgian"
"მოსმენის უნარები","Georgian"
" საუბარი","Georgian"
" და წერა.","Georgian"
"გრამატიკის ცოდნის გარეშე","Georgian"
"მოსწავლეებს არ შეუძლიათ ლაპარაკი","Georgian"
" ან სწორად დაწერე ინგლისური.","Georgian"
" გრამატიკა მნიშვნელოვან როლს ასრულებს","Georgian"
"ნებისმიერი ენის სწავლება და შესწავლა.","Georgian"
" ხელისუფლებამ გააცნობიერა მისი მნიშვნელობა","Georgian"
" გრამატიკა","Georgian"
" ენობრივი განათლების.","Georgian"
" გრამატიკა გახდა","Georgian"
"მნიშვნელოვანი ნაწილი","Georgian"
"სკოლის ინგლისური სასწავლო გეგმა","Georgian"
" დაწყებითიდან უმაღლეს განათლებამდე.","Georgian"
" გრამატიკა არის საფუძველი","Georgian"
"ინგლისური ენა","Georgian"
" და ეს არის ფუნდამენტური","Georgian"
"სწავლების ნაწილი და","Georgian"
" ინგლისური გრამატიკის სწავლა","Georgian"
" ბუტანის კლასში.","Georgian"
"სკოლის ინგლისური სასწავლო გეგმა იყოფა","Georgian"
" ინგლისური ოთხ ძირითად უნარში","Georgian"
"საუბარი და მოსმენა","Georgian"
" კითხვა და ლიტერატურა და ენა","Georgian"
"დაწყებითი დაწყებით თორმეტ კლასამდე","Georgian"
"დაეხმარეთ მოსწავლეებს სწორად ისწავლონ.","Georgian"
" ამიტომ","Georgian"
" ინგლისური გრამატიკის სწავლება და შესწავლა","Georgian"
"ფორმალური სახით საკლასო გარემოში","Georgian"
" დაეხმარეთ მოსწავლეებს მოსმენის მოპოვებაში","Georgian"
" საუბრის","Georgian"
" ბუნება","Georgian"
